writing	reading	meaning	level
吸う	すう	to inhale; to smoke (tobacco or other drugs); to suck; to absorb	N5
スカート	すかーと	skirt (clothing)	N5
好き	すき	liked, likable; fondness, favor, favour	N5
少ない	すくない	not many, few, little	N5
すぐに	すぐに	Instantly	N5
少し	すこし	a little; slightly; a little; a few	N5
涼しい	すずしい	refreshing, cool	N5
ストーブ	すとーぶ	heater, stove	N5
スプーン	すぷーん	spoon	N5
スポーツ	すぽーつ	a sport; sports	N5
ズボン	ずぼん	trousers (AUS, UK), pants (AUS, Canada, US), strides (AUS), generally refers specifically to men's pants.	N5
住む	すむ	to live in, to inhabit, to abide at, to dwell at	N5
スリッパ	すりっぱ	a slipper (low shoe usually worn indoors)	N5
為る	する	to exist; to come up (of inanimate objects); to exist (in someone or something) (of a specified state; of a specified quality); to be worth; to have the value of; to pass; to elapse (of time); to do; to perform an action; to act as; to play a role of; to render; to make become (used as the suppletive causative form of なる (naru)); to be; to wear (accessories); to decide; to choose or to make a judgment; to do it; to have sex; \"Adverb + する\", forming predicates or attributives from adverbs.; \"Verbal noun + emphatic particle (e.g. は, も, こそ, さえ) + する \", emphasizing the verb.; \"Volitional form of verb + と + する\": to be about to; to incline to; \"に / と + する\", to give a condition or standpoint, either real or hypothetical: if / since; assuming that / now that; \"御(お)/御(ご) + verbal noun + する\", a humble form of the verb.; 刷る, 摺る: to print something (from the way the paper would be placed on the printing block and rubbed); 掏る: to pick someone's pocket (possibly from the way a pickpocket must slide along unnoticed; compare English slick); 擦る, 摩る, 磨る, 擂る: to slide, to rub, to chafe, to strike (as in a match, by rubbing); to lose or waste money; 剃る: irregular reading for 剃る (soru, “to shave”)	N5
座る	すわる	to sit, to have a seat	N5
背	せ	one's back (part of the human body); one's height; the rear of something, the area behind	N5
生徒	せいと	pupil, educatee, student (especially in junior high schools (中学校) or high schools (高校) in Japan)	N5
セーター	せーたー	a sweater	N5
せっけん	せっけん	石鹸: soap; 席巻, 席捲: conquest; 接見: interview; 節倹: economy	N5
背広	せびろ	a business suit	N5
狭い	せまい	narrow, confined; small; short	N5
ゼロ	ぜろ	zero (number); Used to refer to something measurable being absent or missing.	N5
千	せん	a surname, especially from the line of tea ceremony masters	N5
先月	せんげつ	last month	N5
先週	せんしゅう	last week	N5
先生	せんせい	an elder; a scholar; a teacher or a professor; sensei (Japanese martial arts teacher); sir, a polite form of address to teachers, doctors, etc.; a title used after the name of teachers, doctors, lawyers, or certain other professionals	N5
洗濯	せんたく	laundry, washing; do the laundry; wash clothes	N5
全部	ぜんぶ	the whole thing; everything; all; all, entirely, totally, completely	N5
掃除	そうじ	cleaning; sweeping up; clean; sweep up; tidy up	N5
そうして	そうして	alternative form of そして (soshite)	N5
そして	そして	and, and then; thus, and now; like that	N5
其処	そこ	That place, area, or part near you. (near the addressee); That organization or team near you. (near the addressee); The place, area, or part we are talking about. (either the speaker or the addressee knows); The organization or team we are talking about. (either the speaker or the addressee knows); You people over there.	N5
そちら	そちら	that direction; that way; that person; you; that one	N5
そっち	そっち	alternative form of そちら	N5
外	そと	outside	N5
其の	その	that ... near you (near the addressee); the ... we are talking about.; ...of it; its; their; used in a title and before a number to indicate that number of part, chapter, volume, episode, or installment; compare suffixes 編 (-hen), 話 (-wa), 巻 (-kan), 集 (-shū), 章 (-shō), 上 (jō), 中 (chū) and 下 (ge); uh, umm, er	N5
側	そば	vicinity, near, beside, side	N5
空	そら	the sky; the weather or atmospheric conditions of the sky; a place that is distant; the act of reading from memory; by heart; the top of a high place such as the roof of a house or a tree; fake; not real; incorrectly perceived or guessed	N5
それ	それ	Used to call someone's attention to something; there!, look!; Used to stir someone to action or fire oneself up; go on!, let's go!, right!, here goes!, come on!; 其れ: probably	N5
それから	それから	and then, after that, later, from now on	N5
それでは	それでは	其れでは: then, if so	N5
大学	だいがく	Great Learning; a university; a college	N5
大使館	たいしかん	embassy	N5
大丈夫	だいじょうぶ	a man of class; a great man; all right; okay; in good health; uninjured; all right, unbroken, still working; certain, correct, certifiable; indifferent, unconcerned; no thank you	N5
大好き	だいすき	loved; lovable; very liked; very likable; very (most) favorite	N5
大切	たいせつ	important, weighty; valuable; importance, weight; value	N5
台所	だいどころ	kitchen	N5
大変	たいへん	difficult, hard; terrible; serious, grave; very, greatly; disaster; difficulty; dreadfulness	N5
高い	たかい	high, tall; superior; 高い, 高価い: expensive	N5
たくさん	たくさん	many	N5
タクシー	たくしー	a taxi, a taxicab, a cab	N5
出す	だす	to take out, to get out; to put forth; to show or reveal; to submit, to turn in; to publish, to make public; to demonstrate, to show; to send something, like a letter; to begin, give rise to; to permeate; to serve; to emit (light), to utter (a sound or a voice); 出る, 射精す: (vulgar, specifically) to ejaculate; to begin to do something; out	N5
立つ	たつ	to stand, to stand up, to rise; to depart; to close; of something physical but not solid or liquid: to be released, to rise	N5
縦	たて	length; height	N5
建物	たてもの	建物: building, structure, construction, edifice	N5
楽しい	たのしい	pleasant, delightful, fun, enjoyable	N5
頼む	たのむ	ask someone to do something; to call; to order; to reserve; 恃む: to rely on	N5
たばこ	たばこ	tobacco,cigarettes	N5
多分	たぶん	maybe, perhaps; probably	N5
食べ物	たべもの	food in general; provisions; a specific food; one's diet, what one eats	N5
食べる	たべる	to eat; to eat or drink	N5
卵	たまご	an egg, including fish roe; the beginning or start of something (compare the uses of English terms kernel and seed); a beginner or rookie at something	N5
誰	だれ	interrogative personal pronoun: who, whom; someone, anyone	N5
誰か	だれか	somebody, someone	N5
誕生日	たんじょうび	a birthday	N5
だんだん	だんだん	団々: very round of shape, such as the roundness of the full moon; full of dew, covered in dewdrops; thank you	N5
小さい	ちいさい	small, little, tiny; young, little	N5
小さな	ちいさな	small, little, tiny (of size or amount); small, minor (of extent, scale or importance); young, little (of age)	N5
近い	ちかい	near, close to (in space); near (in time), at hand; close, closely related; near, not far off (in amount); similar in appearance, form, color, shape, etc.; close, on good terms with	N5
違う	ちがう	to be different; to differ (from something); another; no, that is wrong / incorrect; that's not how it is	N5
近く	ちかく	soon, before long; the vicinity, the neighborhood	N5
地下鉄	ちかてつ	rapid transit, metro, (AmE) subway, (BrE) underground	N5
地図	ちず	a map (visual representation of an area)	N5
茶色	ちゃいろ	brown	N5
ちゃわん	ちゃわん	rice bowl	N5
丁度	ちょうど	just, right, exactly, precisely	N5
ちょっと	ちょっと	slightly, a little, a bit, somewhat; an indirect expression of refusal; hey, excuse me	N5
一日	ついたち	the first day of the month (solar or lunar calendar)	N5
使う	つかう	to use; to employ; to make use of, to apply; 遣う: to spend	N5
疲れる	つかれる	to be tired; to exhaustion	N5
次	つぎ	next, order, sequence, below	N5
着く	つく	arrive, reach a destination	N5
机	つくえ	desk; table	N5
作る	つくる	to make; to cook; to write; to write a literary work; to write a character or word in a particular form; to grow, to raise; to cultivate ability, to train; to draw up, form, establish; to make an acquaintance	N5
付ける	つける	attach, affix, stick, fasten, add, add on, append; set, put, put one thing on another; apply, put on; leave a mark on; write, make an entry; give, impart, direct, direct one's attention; set, set a price; provide with an attendant, provide a person with an attendant, place a person in attendance, place a person in attendance on; follow, trail, shadow; settle, bring to terms; be accustomed to, be used to; perform an action vigorously, perform an action vehemently; perceive, detect	N5
勤める	つとめる	to be engaged, to work (for)	N5
つまらない	つまらない	boring	N5
冷たい	つめたい	cold; cold (unfriendly)	N5
強い	つよい	strong, durable, powerful; strong, competent, good; high tolerance, resilient	N5
手	て	a hand; a handle, grip; a paw, foreleg; a way of acting, means; handwriting; style of calligraphy of an individual; a move, play; strengthens the prefixed adjective or adjectival noun; one who does the previous word's action: -ist, -er; counter for moves in shogi, go, etc.	N5
